,start,end,rate
O/N,2017/12/23,2017/12/24,0.014348
T/N,2017/12/24,2017/12/25,0.014348
1W,2017/12/25,2018/1/1,0.014876
2W,2017/12/25,2018/1/8,0.015
1M,2017/12/25,2018/1/24,0.01563
2M,2017/12/25,2018/2/23,0.01616
3M,2017/12/25,2018/3/25,0.01685
6M,2017/12/25,2018/6/23,0.01833
1Y,2017/12/25,2018/12/20,0.021
2Y,2017/12/25,2019/12/25,0.02086
3Y,2017/12/25,2020/12/24,0.02187
4Y,2017/12/25,2021/12/24,0.02248
5Y,2017/12/25,2022/12/24,0.02295
6Y,2017/12/25,2023/12/24,0.02337
7Y,2017/12/25,2024/12/23,0.02376
8Y,2017/12/25,2025/12/23,0.02411
9Y,2017/12/25,2026/12/23,0.02444
10Y,2017/12/25,2027/12/23,0.02475
15Y,2017/12/25,2032/12/21,0.02582
20Y,2017/12/25,2037/12/20,0.02632
30Y,2017/12/25,2047/12/18,0.02646