Date,Money_market,Tenor,Freqency,Rate,,
2018/9/28,LIBOR,O/N,,0.0217138,0,
2018/9/28,LIBOR,1W,,0.0219863,7,
2018/9/28,LIBOR,1M,,0.0226056,30,
2018/9/28,LIBOR,2M,,0.0231075,60,
2018/9/28,LIBOR,3M,,0.0239838,90,
2018/9/28,LIBOR,6M,,0.0260388,180,
2018/9/28,SWAP,1Y,3M,0.0291863,270,0.027883168
2018/9/28,SWAP,2Y,3M,0.02983,365,
2018/9/28,SWAP,3Y,3M,0.0304,,
2018/9/28,SWAP,4Y,3M,0.03057,,
2018/9/28,SWAP,5Y,3M,0.03062,,
2018/9/28,SWAP,6Y,3M,0.03068,,
2018/9/28,SWAP,7Y,3M,0.03076,,
2018/9/28,SWAP,8Y,3M,0.03087,,
2018/9/28,SWAP,9Y,3M,0.03098,,
2018/9/28,SWAP,10Y,3M,0.0311,,
2018/9/28,SWAP,15Y,3M,0.03146,,
2018/9/28,SWAP,20Y,3M,0.03151,,
2018/9/28,SWAP,30Y,3M,0.03121,,